--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Notes: 
  Total_num: the numbers of add/sub in rtl
  Module Name: the module name of the instantiated module calling directly the add/sub sub module
  Location/Inst Name: if linefile info exists(no optimization), print the codes location of add/sub in rtl, else print the inst name
  Count: the amount of lutcarry for add/sub
  Number: the numbers of add/sub with the same lutcarry counts and linefile

Detailed RTL Component Info :
-----Add :
               Total_Num :61
-----Sub :
               Total_Num :37
-----AddSub :
               Total_Num :0

Add_Sub_AddSub: Initial Mapping Report :
|----------------------------------------------|---------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------|
|Module Name                                   |Type     |Count    |Number   |Location/Inst Name                                                                                                                    |
|----------------------------------------------|---------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------|
|ch0_image_reshape                             |Add      |12       |1        |../source/image_reshape.v:53                                                                                                          |
|----------------------------------------------|---------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------|
|ch0_image_reshape                             |Add      |12       |1        |../source/image_reshape.v:71                                                                                                          |
|----------------------------------------------|---------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------|
|coms2_reg_config                              |Add      |12       |1        |../source/reg_config.v:58                                                                                                             |
|----------------------------------------------|---------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------|
|ddrphy_check_ppll_out_sync_point              |Sub      |9        |1        |../ipcore/ddr3/rtl/ddrphy/ips2l_ddrphy_check_ppll_out_sync_point_v1_14.vp:427                                                         |
|----------------------------------------------|---------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------|
|ddrphy_check_ppll_out_sync_point              |Sub      |9        |1        |../ipcore/ddr3/rtl/ddrphy/ips2l_ddrphy_check_ppll_out_sync_point_v1_14.vp:443                                                         |
|----------------------------------------------|---------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------|
|ddrphy_check_ppll_out_sync_point              |Add      |9        |1        |u_system_top/ddr_npu/u_ddrphy_top/ddrphy_check_ppll_out_sync_point/N173_3                                                             |
